"state","sex","year","total","daily"
"Colorado","Females",2003,20.01,14.77
"Colorado","Both",2003,21.74,15.75
"Colorado","Males",2004,22.93,16.06
"Colorado","Females",2004,19.51,14.62
"Colorado","Both",2004,21.19,15.32
"Colorado","Males",2005,22.56,15.75
"Colorado","Females",2005,19.4,14.42
"Colorado","Both",2005,20.95,15.07
"Colorado","Males",2006,22.38,15.59
"Colorado","Females",2006,19.04,14.02
"Colorado","Both",2006,20.68,14.79
"Colorado","Males",2007,22.18,15.54
"Colorado","Females",2007,18.57,13.62
"Colorado","Both",2007,20.34,14.56
"Colorado","Males",2008,21.73,15.21
"Colorado","Females",2008,17.86,13.14
"Colorado","Both",2008,19.76,14.15
"Colorado","Males",2009,21.54,15.09
"Colorado","Females",2009,17.56,12.65
"Colorado","Both",2009,19.51,13.85
"Colorado","Males",2010,21.38,14.83
"Colorado","Females",2010,17.05,12.02
"Colorado","Both",2010,19.17,13.4
"Colorado","Males",2011,20.68,14.1
"Colorado","Females",2011,17.36,11.86
"Colorado","Both",2011,18.99,12.96
"Colorado","Males",2012,20.1,13.49
"Colorado","Females",2012,16.93,11.4
"Colorado","Both",2012,18.48,12.43
"Connecticut","Males",1996,24.12,19.7
"Connecticut","Females",1996,22.39,17.9
"Connecticut","Both",1996,23.24,18.78
"Connecticut","Males",1997,23.95,19.27
"Connecticut","Females",1997,22.31,17.65
"Connecticut","Both",1997,23.11,18.45
"Connecticut","Males",1998,23.84,18.85
"Connecticut","Females",1998,22.1,17.4
"Connecticut","Both",1998,22.95,18.11
"Connecticut","Males",1999,24.04,18.72
"Connecticut","Females",1999,22.43,17.17
"Connecticut","Both",1999,23.22,17.93
"Connecticut","Males",2000,23.9,18.33
"Connecticut","Females",2000,22.26,16.96
"Connecticut","Both",2000,23.07,17.63
"Connecticut","Males",2001,23.93,18.27
"Connecticut","Females",2001,21.72,16.55
"Connecticut","Both",2001,22.81,17.39
"Connecticut","Males",2002,23.74,17.97
